s_State,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Daykundi,AF24,33.764021,66.184738,10160
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Uruzgan,AF25,32.942363,66.132258,1516
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Zabul,AF26,32.193437,67.159692,6621
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Kandahar,AF27,31.052452,65.712547,5924
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Jawzjan,AF28,36.828418,65.841324,13812
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Faryab,AF29,36.054515,64.859923,27352
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Helmand,AF30,31.185119,64.052756,27256
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Badghis,AF31,35.139966,63.677186,23344
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Herat,AF32,34.059812,61.988025,42135
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Farah,AF33,32.497557,62.462352,76298
Pul-e-Abrisham (Milak),x_11,30.96555,61.823383,Nimroz,AF34,30.789339,62.316668,49712
